map,bucket,scenario,start_x,start_y,heuristic,density,avg_runtime_ms,avg_nodes_expanded,success,dataset_type,density_level,runtime_outlier,nodes_outlier
maze512-16-0.map,0,0,348,495,manhattan,0.0615234375,0.0064849853515625,1.0,True,mazes,medium,False,False
maze512-16-0.map,0,0,348,495,euclidean,0.0615234375,0.0040769577026367,1.0,True,mazes,medium,False,False
maze512-16-0.map,0,1,380,369,manhattan,0.0615234375,0.0181913375854492,8.0,True,mazes,medium,False,False
maze512-16-0.map,0,1,380,369,euclidean,0.0615234375,0.0192165374755859,8.0,True,mazes,medium,False,False
maze512-16-0.map,0,2,403,486,manhattan,0.0615234375,0.0240087509155273,11.0,True,mazes,medium,False,False
maze512-16-0.map,0,2,403,486,euclidean,0.0615234375,0.0255107879638671,11.0,True,mazes,medium,False,False
maze512-16-0.map,0,3,200,361,manhattan,0.0615234375,0.01220703125,5.0,True,mazes,medium,False,False
maze512-16-0.map,0,3,200,361,euclidean,0.0615234375,0.0129461288452148,5.0,True,mazes,medium,False,False
maze512-16-0.map,0,4,466,436,manhattan,0.0615234375,0.0234365463256835,11.0,True,mazes,medium,False,False
maze512-16-0.map,0,4,466,436,euclidean,0.0615234375,0.0253200531005859,11.0,True,mazes,medium,False,False
maze512-16-0.map,0,5,231,178,manhattan,0.0615234375,0.0158309936523437,7.0,True,mazes,medium,False,False
maze512-16-0.map,0,5,231,178,euclidean,0.0615234375,0.017094612121582,7.0,True,mazes,medium,False,False
maze512-16-0.map,0,6,413,416,manhattan,0.0615234375,0.0035762786865234,1.0,True,mazes,medium,False,False
maze512-16-0.map,0,6,413,416,euclidean,0.0615234375,0.0036239624023437,1.0,True,mazes,medium,False,False
maze512-16-0.map,0,7,42,402,manhattan,0.0615234375,0.0058412551879882,2.0,True,mazes,medium,False,False
maze512-16-0.map,0,7,42,402,euclidean,0.0615234375,0.0066757202148437,2.0,True,mazes,medium,False,False
maze512-16-0.map,0,8,298,321,manhattan,0.0615234375,0.0074148178100585,3.0,True,mazes,medium,False,False
maze512-16-0.map,0,8,298,321,euclidean,0.0615234375,0.0082969665527343,3.0,True,mazes,medium,False,False
maze512-16-0.map,0,9,81,163,manhattan,0.0615234375,0.0117778778076171,5.0,True,mazes,medium,False,False
maze512-16-0.map,0,9,81,163,euclidean,0.0615234375,0.0128507614135742,5.0,True,mazes,medium,False,False
maze512-16-0.map,1,10,487,149,manhattan,0.0615234375,0.0243663787841796,11.0,True,mazes,medium,False,False
maze512-16-0.map,1,10,487,149,euclidean,0.0615234375,0.0262260437011718,11.0,True,mazes,medium,False,False
maze512-16-0.map,1,11,205,85,manhattan,0.0615234375,0.0508069992065429,27.0,True,mazes,medium,False,False
maze512-16-0.map,1,11,205,85,euclidean,0.0615234375,0.0600099563598632,31.0,True,mazes,medium,False,False
maze512-16-0.map,1,12,209,299,manhattan,0.0615234375,0.0292301177978515,14.0,True,mazes,medium,False,False
maze512-16-0.map,1,12,209,299,euclidean,0.0615234375,0.0336170196533203,15.0,True,mazes,medium,False,False
maze512-16-0.map,1,13,403,284,manhattan,0.0615234375,0.0110864639282226,4.0,True,mazes,medium,False,False
maze512-16-0.map,1,13,403,284,euclidean,0.0615234375,0.012373924255371,4.0,True,mazes,medium,False,False
maze512-16-0.map,1,14,417,166,manhattan,0.0615234375,20.0312614440918,10075.0,True,mazes,medium,True,True
maze512-16-0.map,1,14,417,166,euclidean,0.0615234375,26.121950149536133,11380.0,True,mazes,medium,True,True
maze512-16-0.map,1,15,387,504,manhattan,0.0615234375,0.0223875045776367,9.0,True,mazes,medium,False,False
maze512-16-0.map,1,15,387,504,euclidean,0.0615234375,0.0226974487304687,9.0,True,mazes,medium,False,False
maze512-16-0.map,1,16,360,57,manhattan,0.0615234375,0.0206232070922851,9.0,True,mazes,medium,False,False
maze512-16-0.map,1,16,360,57,euclidean,0.0615234375,0.022292137145996,9.0,True,mazes,medium,False,False
maze512-16-0.map,1,17,510,161,manhattan,0.0615234375,0.0200986862182617,9.0,True,mazes,medium,False,False
maze512-16-0.map,1,17,510,161,euclidean,0.0615234375,0.0220775604248046,9.0,True,mazes,medium,False,False
maze512-16-0.map,1,18,325,244,manhattan,0.0615234375,0.0466823577880859,23.0,True,mazes,medium,False,False
maze512-16-0.map,1,18,325,244,euclidean,0.0615234375,0.0568866729736328,27.0,True,mazes,medium,False,False
maze512-16-0.map,1,19,399,498,manhattan,0.0615234375,0.0290155410766601,14.0,True,mazes,medium,False,False
maze512-16-0.map,1,19,399,498,euclidean,0.0615234375,0.0332117080688476,15.0,True,mazes,medium,False,False
maze512-16-0.map,2,21,350,117,manhattan,0.0615234375,6.708908081054688,3556.0,True,mazes,medium,True,True
maze512-16-0.map,2,21,350,117,euclidean,0.0615234375,9.032773971557615,4472.0,True,mazes,medium,True,True
maze512-16-0.map,2,22,167,211,manhattan,0.0615234375,0.0753402709960937,39.0,True,mazes,medium,False,False
maze512-16-0.map,2,22,167,211,euclidean,0.0615234375,0.0928401947021484,47.0,True,mazes,medium,False,False
maze512-16-0.map,2,23,172,139,manhattan,0.0615234375,0.0641107559204101,32.0,True,mazes,medium,False,False
maze512-16-0.map,2,23,172,139,euclidean,0.0615234375,0.0802516937255859,39.0,True,mazes,medium,False,False
maze512-16-0.map,2,25,17,143,manhattan,0.0615234375,0.0972747802734375,53.0,True,mazes,medium,False,False
maze512-16-0.map,2,25,17,143,euclidean,0.0615234375,0.1259565353393554,65.0,True,mazes,medium,False,False
maze512-16-0.map,2,26,381,82,manhattan,0.0615234375,0.0742673873901367,39.0,True,mazes,medium,False,False
maze512-16-0.map,2,26,381,82,euclidean,0.0615234375,0.0931978225708007,46.0,True,mazes,medium,False,False
maze512-16-0.map,2,27,49,25,manhattan,0.0615234375,0.1085281372070312,63.0,True,mazes,medium,False,False
maze512-16-0.map,2,27,49,25,euclidean,0.0615234375,0.1367330551147461,76.0,True,mazes,medium,False,False
maze512-16-0.map,2,28,124,481,manhattan,0.0615234375,0.0501871109008789,23.0,True,mazes,medium,False,False
maze512-16-0.map,2,28,124,481,euclidean,0.0615234375,0.0541210174560546,23.0,True,mazes,medium,False,False
maze512-16-0.map,2,29,142,488,manhattan,0.0615234375,0.7123470306396484,399.0,True,mazes,medium,False,False
maze512-16-0.map,2,29,142,488,euclidean,0.0615234375,0.8948802947998047,487.0,True,mazes,medium,False,False
maze512-16-0.map,3,30,24,225,manhattan,0.0615234375,250.2274751663208,95865.0,True,mazes,medium,True,True
maze512-16-0.map,3,30,24,225,euclidean,0.0615234375,275.87249279022217,99827.0,True,mazes,medium,True,True
maze512-16-0.map,3,31,223,212,manhattan,0.0615234375,0.1016855239868164,44.0,True,mazes,medium,False,False
maze512-16-0.map,3,31,223,212,euclidean,0.0615234375,0.1127481460571289,55.0,True,mazes,medium,False,False
maze512-16-0.map,3,32,454,281,manhattan,0.0615234375,6.18438720703125,3058.0,True,mazes,medium,True,True
maze512-16-0.map,3,32,454,281,euclidean,0.0615234375,8.69450569152832,3481.0,True,mazes,medium,True,True
maze512-16-0.map,3,33,175,464,manhattan,0.0615234375,0.0901222229003906,44.0,True,mazes,medium,False,False
maze512-16-0.map,3,33,175,464,euclidean,0.0615234375,0.1153469085693359,55.0,True,mazes,medium,False,False
maze512-16-0.map,3,34,204,105,manhattan,0.0615234375,0.0639915466308593,34.0,True,mazes,medium,False,False
maze512-16-0.map,3,34,204,105,euclidean,0.0615234375,0.1028299331665039,46.0,True,mazes,medium,False,False
maze512-16-0.map,3,35,134,294,manhattan,0.0615234375,0.0551462173461914,25.0,True,mazes,medium,False,False
maze512-16-0.map,3,35,134,294,euclidean,0.0615234375,0.0599622726440429,25.0,True,mazes,medium,False,False
maze512-16-0.map,3,36,146,490,manhattan,0.0615234375,1.0974645614624023,608.0,True,mazes,medium,False,False
maze512-16-0.map,3,36,146,490,euclidean,0.0615234375,1.5026330947875977,791.0,True,mazes,medium,False,False
maze512-16-0.map,3,37,371,167,manhattan,0.0615234375,0.2384901046752929,131.0,True,mazes,medium,False,False
maze512-16-0.map,3,37,371,167,euclidean,0.0615234375,0.3169059753417969,167.0,True,mazes,medium,False,False
maze512-16-0.map,3,38,435,287,manhattan,0.0615234375,0.1725912094116211,90.0,True,mazes,medium,False,False
maze512-16-0.map,3,38,435,287,euclidean,0.0615234375,0.2343654632568359,116.0,True,mazes,medium,False,False
maze512-16-0.map,3,39,367,151,manhattan,0.0615234375,0.0691413879394531,31.0,True,mazes,medium,False,False
maze512-16-0.map,3,39,367,151,euclidean,0.0615234375,0.0746965408325195,31.0,True,mazes,medium,False,False
maze512-16-0.map,4,40,317,435,manhattan,0.0615234375,13.62473964691162,6683.0,True,mazes,medium,True,True
maze512-16-0.map,4,40,317,435,euclidean,0.0615234375,18.66917610168457,7753.0,True,mazes,medium,True,True
maze512-16-0.map,4,41,452,510,manhattan,0.0615234375,1.5642404556274414,801.0,True,mazes,medium,True,True
maze512-16-0.map,4,41,452,510,euclidean,0.0615234375,1.6272544860839844,852.0,True,mazes,medium,False,False
maze512-16-0.map,4,42,423,169,manhattan,0.0615234375,12.38565444946289,6197.0,True,mazes,medium,True,True
maze512-16-0.map,4,42,423,169,euclidean,0.0615234375,16.673970222473145,6992.0,True,mazes,medium,True,True
maze512-16-0.map,4,44,340,152,manhattan,0.0615234375,0.5953073501586914,175.0,True,mazes,medium,False,False
maze512-16-0.map,4,44,340,152,euclidean,0.0615234375,0.7904767990112305,222.0,True,mazes,medium,False,False
maze512-16-0.map,4,45,369,187,manhattan,0.0615234375,17.12195873260498,7610.0,True,mazes,medium,True,True
maze512-16-0.map,4,45,369,187,euclidean,0.0615234375,21.19991779327393,8621.0,True,mazes,medium,True,True
maze512-16-0.map,4,46,469,248,manhattan,0.0615234375,17.73374080657959,7581.0,True,mazes,medium,True,True
maze512-16-0.map,4,46,469,248,euclidean,0.0615234375,23.796582221984863,9294.0,True,mazes,medium,True,True
maze512-16-0.map,4,47,461,251,manhattan,0.0615234375,16.067218780517578,7564.0,True,mazes,medium,True,True
maze512-16-0.map,4,47,461,251,euclidean,0.0615234375,20.98350524902344,9039.0,True,mazes,medium,True,True
maze512-16-0.map,4,48,495,181,manhattan,0.0615234375,0.3358840942382812,175.0,True,mazes,medium,False,False
maze512-16-0.map,4,48,495,181,euclidean,0.0615234375,0.6220817565917969,233.0,True,mazes,medium,False,False
maze512-16-0.map,4,49,473,172,manhattan,0.0615234375,434.8736047744751,165942.0,True,mazes,medium,True,True
maze512-16-0.map,4,49,473,172,euclidean,0.0615234375,479.7975778579712,170606.0,True,mazes,medium,True,True
maze512-16-0.map,5,50,94,57,manhattan,0.0615234375,0.4012346267700195,214.0,True,mazes,medium,False,False
maze512-16-0.map,5,50,94,57,euclidean,0.0615234375,0.5548477172851562,285.0,True,mazes,medium,False,False
maze512-16-0.map,5,51,3,325,manhattan,0.0615234375,0.5730867385864258,335.0,True,mazes,medium,False,False
maze512-16-0.map,5,51,3,325,euclidean,0.0615234375,0.8417129516601562,400.0,True,mazes,medium,False,False
maze512-16-0.map,5,52,244,278,manhattan,0.0615234375,0.3294229507446289,114.0,True,mazes,medium,False,False
maze512-16-0.map,5,52,244,278,euclidean,0.0615234375,0.338602066040039,152.0,True,mazes,medium,False,False
maze512-16-1.map,0,0,88,53,manhattan,0.0613517761230468,0.0108003616333007,3.0,True,mazes,medium,False,False
maze512-16-1.map,0,0,88,53,euclidean,0.0613517761230468,0.009918212890625,3.0,True,mazes,medium,False,False
maze512-16-1.map,0,1,260,242,manhattan,0.0613517761230468,0.0142574310302734,5.0,True,mazes,medium,False,False
maze512-16-1.map,0,1,260,242,euclidean,0.0613517761230468,0.0136613845825195,5.0,True,mazes,medium,False,False
maze512-16-1.map,0,2,40,179,manhattan,0.0613517761230468,0.0078678131103515,3.0,True,mazes,medium,False,False
maze512-16-1.map,0,2,40,179,euclidean,0.0613517761230468,0.0085830688476562,3.0,True,mazes,medium,False,False
maze512-16-1.map,0,3,249,240,manhattan,0.0613517761230468,0.0074148178100585,3.0,True,mazes,medium,False,False
maze512-16-1.map,0,3,249,240,euclidean,0.0613517761230468,0.0081539154052734,3.0,True,mazes,medium,False,False
maze512-16-1.map,0,4,69,235,manhattan,0.0613517761230468,0.0116348266601562,5.0,True,mazes,medium,False,False
maze512-16-1.map,0,4,69,235,euclidean,0.0613517761230468,0.0129938125610351,5.0,True,mazes,medium,False,False
maze512-16-1.map,0,5,262,231,manhattan,0.0613517761230468,0.0123262405395507,5.0,True,mazes,medium,False,False
maze512-16-1.map,0,5,262,231,euclidean,0.0613517761230468,0.0142097473144531,5.0,True,mazes,medium,False,False
maze512-16-1.map,0,6,456,110,manhattan,0.0613517761230468,0.023818016052246,11.0,True,mazes,medium,False,False
maze512-16-1.map,0,6,456,110,euclidean,0.0613517761230468,0.0257492065429687,11.0,True,mazes,medium,False,False
maze512-16-1.map,0,7,15,483,manhattan,0.0613517761230468,0.0150918960571289,7.0,True,mazes,medium,False,False
maze512-16-1.map,0,7,15,483,euclidean,0.0613517761230468,0.0159740447998046,7.0,True,mazes,medium,False,False
maze512-16-1.map,0,8,337,54,manhattan,0.0613517761230468,0.0121355056762695,5.0,True,mazes,medium,False,False
