map,bucket,scenario,start_x,start_y,heuristic,density,avg_runtime_ms,avg_nodes_expanded,success
maze512-16-0.map,0,0,348,495,manhattan,0.0615234375,0.0064849853515625,1.0,True
maze512-16-0.map,0,0,348,495,euclidean,0.0615234375,0.004076957702636719,1.0,True
maze512-16-0.map,0,1,380,369,manhattan,0.0615234375,0.01819133758544922,8.0,True
maze512-16-0.map,0,1,380,369,euclidean,0.0615234375,0.019216537475585938,8.0,True
maze512-16-0.map,0,2,403,486,manhattan,0.0615234375,0.024008750915527344,11.0,True
maze512-16-0.map,0,2,403,486,euclidean,0.0615234375,0.025510787963867188,11.0,True
maze512-16-0.map,0,3,200,361,manhattan,0.0615234375,0.01220703125,5.0,True
maze512-16-0.map,0,3,200,361,euclidean,0.0615234375,0.012946128845214844,5.0,True
maze512-16-0.map,0,4,466,436,manhattan,0.0615234375,0.023436546325683594,11.0,True
maze512-16-0.map,0,4,466,436,euclidean,0.0615234375,0.025320053100585938,11.0,True
maze512-16-0.map,0,5,231,178,manhattan,0.0615234375,0.01583099365234375,7.0,True
maze512-16-0.map,0,5,231,178,euclidean,0.0615234375,0.01709461212158203,7.0,True
maze512-16-0.map,0,6,413,416,manhattan,0.0615234375,0.0035762786865234375,1.0,True
maze512-16-0.map,0,6,413,416,euclidean,0.0615234375,0.00362396240234375,1.0,True
maze512-16-0.map,0,7,42,402,manhattan,0.0615234375,0.005841255187988281,2.0,True
maze512-16-0.map,0,7,42,402,euclidean,0.0615234375,0.00667572021484375,2.0,True
maze512-16-0.map,0,8,298,321,manhattan,0.0615234375,0.007414817810058594,3.0,True
maze512-16-0.map,0,8,298,321,euclidean,0.0615234375,0.008296966552734375,3.0,True
maze512-16-0.map,0,9,81,163,manhattan,0.0615234375,0.011777877807617188,5.0,True
maze512-16-0.map,0,9,81,163,euclidean,0.0615234375,0.012850761413574219,5.0,True
maze512-16-0.map,1,10,487,149,manhattan,0.0615234375,0.024366378784179688,11.0,True
maze512-16-0.map,1,10,487,149,euclidean,0.0615234375,0.026226043701171875,11.0,True
maze512-16-0.map,1,11,205,85,manhattan,0.0615234375,0.05080699920654297,27.0,True
maze512-16-0.map,1,11,205,85,euclidean,0.0615234375,0.06000995635986328,31.0,True
maze512-16-0.map,1,12,209,299,manhattan,0.0615234375,0.029230117797851562,14.0,True
maze512-16-0.map,1,12,209,299,euclidean,0.0615234375,0.03361701965332031,15.0,True
maze512-16-0.map,1,13,403,284,manhattan,0.0615234375,0.011086463928222656,4.0,True
maze512-16-0.map,1,13,403,284,euclidean,0.0615234375,0.012373924255371094,4.0,True
maze512-16-0.map,1,14,417,166,manhattan,0.0615234375,20.031261444091797,10075.0,True
maze512-16-0.map,1,14,417,166,euclidean,0.0615234375,26.121950149536133,11380.0,True
